,keyword,paper,url,names,abstract
29,Wearable for stress detection,StressAware: An app for real-time stress monitoring on the amulet wearable platform,https://ieeexplore.ieee.org/abstract/document/8284068/,"G Boateng, D Kotz - 2016 IEEE MIT Undergraduate Research …, 2016 - ieeexplore.ieee.org","… X. CONCLUSION In this work, we present StressAware, an application on the Amulet wearable
platform to measure the stress levels of individuals continuously and in real time. The app
implements a stress detection model, continuously streams data from a commercial heart … 
"
30,Wearable for stress detection,[PDF][PDF] Stress detection and relief using wearable physiological sensors,https://core.ac.uk/download/pdf/295539036.pdf,"K Sethi, T Ramya, HP Singh, R Dutta - Telkomnika, 2019 - core.ac.uk","The aim of the paper was to present a concept and to develop a prototype in the form of a cap which uses a combination of physiological sensors that work in concert to not only detect high stress levels in a person during his daily routine and working env ironment, but …"
31,Wearable for stress detection,Detecting moments of stress from measurements of wearable physiological sensors,https://www.mdpi.com/1424-8220/19/17/3805/pdf,"K Kyriakou, B Resch, G Sagl, A Petutschnig, C Werner… - Sensors, 2019 - mdpi.com","… Keywords: stress detection; rule-based algorithm; physiological wearable sensors; real-world
field studies; perceived stress … Numerous approaches for stress detection that use wearable
physiological sensors have been described; many fall into one of two categories … 
"
32,Wearable for stress detection,Stress events detection of driver by wearable glove system,https://www.researchgate.net/profile/Boon_Giin_Lee/publication/309707884_Stress_Events_Detection_of_Driver_by_Wearable_Glove_System/links/5de9a907299bf10bc3436b55/Stress-Events-Detection-of-Driver-by-Wearable-Glove-System.pdf,"DS Lee, TW Chong, BG Lee - IEEE Sensors Journal, 2016 - ieeexplore.ieee.org",This paper is focused to develop a wearable glove system to detect driver stress events in real time. The driver's stress is estimated by the use of physiological signals and steering wheel motion analysis. The steering wheel motion is analyzed by driver's hand moving …
33,Wearable for stress detection,Electrodermal activity based pre-surgery stress detection using a wrist wearable,https://ieeexplore.ieee.org/abstract/document/8613785/,"AS Anusha, P Sukumaran… - IEEE journal of …, 2019 - ieeexplore.ieee.org","Surgery is a particularly potent stressor and the detrimental effects of stress on people undergoing any surgery is indisputable. When left unchecked, the presurgery stress adversely impacts people's physical and psychological well-being, and may even evolve …"
34,Wearable for stress detection,Pain and Stress Detection Using Wearable Sensors and Devices—A Review,https://www.mdpi.com/1424-8220/21/4/1030/pdf,"J Chen, M Abbod, JS Shieh - Sensors, 2021 - mdpi.com","Pain is a subjective feeling; it is a sensation that every human being must have experienced all their life. Yet, its mechanism and the way to immune to it is still a question to be answered. This review presents the mechanism and correlation of pain and stress, their …"
35,Wearable for stress detection,"Introducing wesad, a multimodal dataset for wearable stress and affect detection",https://www.eti.uni-siegen.de/ubicomp/papers/ubi_icmi2018.pdf,"P Schmidt, A Reiss, R Duerichen, C Marberger… - Proceedings of the 20th …, 2018 - dl.acm.org","Affect recognition aims to detect a person's affective state based on observables, with the goal to eg improve human-computer interaction. Long-term stress is known to have severe implications on wellbeing, which call for continuous and automated stress monitoring …"
36,Wearable for stress detection,Towards stress detection in real-life scenarios using wearable sensors: normalization factor to reduce variability in stress physiology,https://www.researchgate.net/profile/Bishal_Lamichhane2/publication/311256505_Towards_Stress_Detection_in_Real-Life_Scenarios_Using_Wearable_Sensors_Normalization_Factor_to_Reduce_Variability_in_Stress_Physiology/links/5a214c7aaca27229a06ecb9e/Towards-Stress-Detection-in-Real-Life-Scenarios-Using-Wearable-Sensors-Normalization-Factor-to-Reduce-Variability-in-Stress-Physiology.pdf,"B Lamichhane, U Großekathöfer, G Schiavone… - eHealth 360°, 2017 - Springer",Wearable physiological sensors offer possibilities for the development of continuous stress detection models. Such models need to address the inter-individual and intra-individual differences in stress physiology. In this paper we propose and evaluate a normalization …
37,Wearable for stress detection,Machine learning for stress detection from ECG signals in automobile drivers,https://www.researchgate.net/profile/Isabelle_Bichindaritz/publication/308818946_Machine_learning_for_stress_detection_from_ECG_signals_in_automobile_drivers/links/595f58aea6fdccc9b19a43e9/Machine-learning-for-stress-detection-from-ECG-signals-in-automobile-drivers.pdf,"N Keshan, PV Parimi… - 2015 IEEE International …, 2015 - ieeexplore.ieee.org","… R-peak detection, leading to excellent heart rate rhythm measurement after preprocessing the
signal for missed beats [1]. In addition, ECG monitoring can now be performed with minimally
invasive wearable patches and other sensors, which makes stress detection based on … 
"
38,Wearable for stress detection,Detecting work-related stress with a wearable device,https://www.sciencedirect.com/science/article/pii/S0166361516303207,"L Han, Q Zhang, X Chen, Q Zhan, T Yang, Z Zhao - Computers in Industry, 2017 - Elsevier","… Previous article in issue; Next article in issue. Keywords. Stress detection. Wearable
computing. Electrocardiogram. Respiration. Support vector machine. 1. Introduction.
Work-related stress has drawn great interest in modern society … 
"
39,Wearable for stress detection,Cognitive training and stress detection in mci frail older people through wearable sensors and machine learning,https://ieeexplore.ieee.org/iel7/6287639/8948470/09055213.pdf,"F Delmastro, F Di Martino, C Dolciotti - IEEE Access, 2020 - ieeexplore.ieee.org","Personalised training of motor and cognitive abilities is fundamental to help older people maintain a good quality of life, especially in case of frailty conditions. However, the training activity can increase the stress level, especially in persons affected by a chronic stress  …"
40,Wearable for stress detection,Stress detection from multimodal wearable sensor data,https://iopscience.iop.org/article/10.1088/1757-899X/771/1/012028/pdf,"FI Indikawati, S Winiarti - IOP Conference Series: Materials …, 2020 - iopscience.iop.org",Stress can be recognised by observing changes in physiological responses on the human body. Wearable sensors for stress detection are becoming more prominent in recent years due to their functionality and non-intrusive nature. By utilising data from wearable sensors …
41,Wearable for stress detection,A wearable system for stress detection through physiological data analysis,https://www.researchgate.net/profile/Jacopo_Agrimi/publication/315853218_A_Wearable_System_for_Stress_Detection_Through_Physiological_Data_Analysis/links/5a1975ca4585155c26a98321/A-Wearable-System-for-Stress-Detection-Through-Physiological-Data-Analysis.pdf#page=46,"G Acerbi, E Rovini, S Betti, A Tirri, JF Rónai… - Italian forum of ambient …, 2016 - Springer","In the last years the impact of stress on the society has been increased, resulting in 77% of people that regularly experiences physical symptoms caused by stress with a negative impact on their personal and professional life, especially in aging working population. This …"
42,Wearable for stress detection,To What Extent Can We Shorten HRV Analysis in Wearable Sensing? A Case Study on Mental Stress Detection.,http://wrap.warwick.ac.uk/106545/7/WRAP-extent-shorten-HRV-analysis-wearabl-%20sensing-Castaldo-2017.pdf,"R Castaldo, L Montesinos, P Melillo, S Massaro… - EMBEC & NBC …, 2017 - Springer","Mental stress is one of the first causes of cognitive dysfunctions, cardiovascular disorders and depression. In addition, it reduces performances, on the work place and in daily life. The diffusion of wearablesensors (embedded in smart-watches, phones, etc.) has opened up the …"
43,Wearable for stress detection,Smart wearable band for stress detection,https://tarjomefa.com/wp-content/uploads/2018/05/TarjomeFa-F642-English.pdf,"M Zubair, C Yoon, H Kim, J Kim… - 2015 5th International …, 2015 - ieeexplore.ieee.org","Sometimes mental stress needs to be control as it results in different dangerous suffering. Timely mental stress detection can help to prevent stress related health problems. The aim of this paper is to design an IoT base wearable, cost effective and low power smart band for …"
44,Wearable for stress detection,Stress detection and management: A survey of wearable smart health devices,https://ieeexplore.ieee.org/abstract/document/8048734/,"H Thapliyal, V Khalus, C Labrado - IEEE Consumer Electronics …, 2017 - ieeexplore.ieee.org","In today's world, many people feel stressed out from school, work, or other life events. Therefore, it is important to detect stress and manage it to reduce the risk of damage to an individual's well being. With the emergence of the Internet of Things (IoT), devices can be …"
45,Wearable for stress detection,Continuous stress detection using wearable sensors in real life: Algorithmic programming contest case study,https://www.mdpi.com/1424-8220/19/8/1849/pdf,"YS Can, N Chalabianloo, D Ekiz, C Ersoy - Sensors, 2019 - mdpi.com","The negative effects of mental stress on human health has been known for decades. High-level stress must be detected at early stages to prevent these negative effects. After the emergence of wearable devices that could be part of our lives, researchers have started …"
46,Wearable for stress detection,Stress detection using wearable physiological and sociometric sensors,https://irep.ntu.ac.uk/id/eprint/27918/1/5466_Andrews.pdf,"OM Mozos, V Sandulescu, S Andrews… - … journal of neural …, 2017 - World Scientific",Stress remains a significant social problem for individuals in modern societies. This paper presents a machine learning approach for the automatic detection of stress of people in a social situation by combining two sensor systems that capture physiological and social …
47,Wearable for stress detection,A comparison of wearable and stationary sensors for stress detection,https://www.researchgate.net/profile/Christelle_Godin/publication/313587927_A_comparison_of_wearable_and_stationary_sensors_for_stress_detection/links/5c80d9db299bf1268d407b4b/A-comparison-of-wearable-and-stationary-sensors-for-stress-detection.pdf,"S Ollander, C Godin, A Campagne… - … on Systems, Man …, 2016 - ieeexplore.ieee.org","To test the stress detection performance of a wearable sensor system, the signals related to heart activity and electrodermal activity of the Empatica E4 wristband have been compared to stationary electrocardiogram and finger skin conductivity electrodes of high sampling …"
48,Wearable for stress detection,[HTML][HTML] Large-scale wearable data reveal digital phenotypes for daily-life stress detection,https://www.nature.com/articles/s41746-018-0074-9,"E Smets, ER Velazquez, G Schiavone, I Chakroun… - NPJ digital …, 2018 - nature.com","Physiological signals have shown to be reliable indicators of stress in laboratory studies, yet large-scale ambulatory validation is lacking. We present a large-scale cross-sectional study for ambulatory stress detection, consisting of 1002 subjects, containing subjects' …"
49,Wearable for stress detection,[HTML][HTML] Stress detection in daily life scenarios using smart phones and wearable sensors: A survey,https://www.sciencedirect.com/science/article/pii/S1532046419300577,"YS Can, B Arnrich, C Ersoy - Journal of biomedical informatics, 2019 - Elsevier","Stress has become a significant cause for many diseases in the modern society. Recently, smartphones, smartwatches and smart wrist-bands have become an integral part of our lives and have reached a widespread usage. This raised the question of whether we can detect …"
50,Wearable for schizophrenia disorders,Differentiating dementia disease subtypes with gait analysis: feasibility of wearable sensors?,https://eprints.ncl.ac.uk/file_store/production/262447/4B27E74A-25AF-453F-BFEE-4A9E0B64966B.pdf,"R Mc Ardle, S Del Din, B Galna, A Thomas… - Gait & posture, 2020 - Elsevier","… However, the ability of wearables and their associated algorithms to differentiate dementia disease …
this study was to assess whether an accelerometer-based wearable device can … DLB or PD, severe
mental illness (major depression, bipolar disorder, schizophrenia), evidence of … 
"
51,Wearable for schizophrenia disorders,[HTML][HTML] Clinical applications of mobile health wearable–based sleep monitoring: systematic review,https://mhealth.jmir.org/2020/4/e10733,"E Guillodo, C Lemey, M Simonnet… - JMIR mHealth and …, 2020 - mhealth.jmir.org","… Given the many benefits, we must consider mHealth wearable devices as promising tools for … and
researchers better identify current challenges in ecological sleep monitoring using wearables …
and suicide risk in an 8-year longitudinal study of schizophrenia-spectrum disorders … 
"
52,Wearable for schizophrenia disorders,[HTML][HTML] Feasibility testing of a wearable behavioral aid for social learning in children with autism,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5821509/,"J Daniels, N Haber, C Voss, J Schwartz… - Applied clinical …, 2018 - ncbi.nlm.nih.gov","… To our knowledge, no system using wearable technology has yet taught facial affect recognition
to … basis of self-report and medical history; (3) a diagnosis of psychiatric disorders currently and …
from behavioral scales; (4) had a sibling diagnosed with ASD or schizophrenia or had … 
"
53,Wearable for schizophrenia disorders,Systematic Review of Digital Phenotyping and Machine Learning in Psychosis Spectrum Illnesses,https://journals.lww.com/hrpjournal/Fulltext/2020/09000/Systematic_Review_of_Digital_Phenotyping_and.2.aspx,"J Benoit, H Onyeaka, M Keshavan… - Harvard Review of …, 2020 - journals.lww.com","Background Digital phenotyping is the use of data from
smartphones and wearables collected in situ.
"
54,Wearable for schizophrenia disorders,mHealth for schizophrenia spectrum disorders management: A systematic review,https://journals.sagepub.com/doi/abs/10.1177/0020764020933287,"O Chivilgina, T Wangmo, BS Elger… - … Journal of Social …, 2020 - journals.sagepub.com","… Format, Tips on citation download. Download Citation. Download article citation data for: mHealth
for schizophrenia spectrum disorders management: A systematic review. Olga Chivilgina, Tenzin
Wangmo, Bernice Simone Elger, Thomas Heinrich, and Fabrice Jotterand … 
"
55,Wearable for schizophrenia disorders,A systematic review of the accuracy of sleep wearable devices for estimating sleep onset,https://www.sciencedirect.com/science/article/pii/S1087079219301959,"H Scott, L Lack, N Lovato - Sleep medicine reviews, 2020 - Elsevier","… These tests are used to objectively measure excessive daytime sleepiness used for the diagnosis
of sleep disorders such as … Van den Water [25] systematically reviewed the validity of objective
measurements of sleep, including research-grade and consumer wearable and non … 
"
56,Wearable for schizophrenia disorders,[HTML][HTML] Smartphone apps for schizophrenia: a systematic review,https://mhealth.jmir.org/2015/4/e102,"J Firth, J Torous - JMIR mHealth and uHealth, 2015 - mhealth.jmir.org","… The study assessed the feasibility and acceptability of a wearable fitness tracker (Fitbit), paired …
to collect “passive data” (from location, general phone usage, or even wearables) may eventually …
reported by Ben-Zeev et al [27] suggested that patients with schizophrenia were not … 
"
57,Wearable for schizophrenia disorders,"[HTML][HTML] Young adults' perceptions of using wearables, social media and other technologies to detect worsening mental health: A qualitative study",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0222655,"LH Dewa, M Lavelle, K Pickles, C Kalorkoti, J Jaques… - PloS one, 2019 - journals.plos.org","… [9,10] Indeed in the UK, 14.8% of 18–24 year olds are wearable users; 95 … but have been shown
to be less effective for people with schizophrenia, albeit across … Instagram, WhatsApp, Snapchat);
mobile apps (eg MyFitnessPal, Secret Zen, Headspace, Calm); wearables (eg Fitbits … 
"
58,Wearable for schizophrenia disorders,Wearable cameras are useful tools to investigate and remediate autobiographical memory impairment: A systematic PRISMA review,https://www.researchgate.net/profile/Melissa_Alle/publication/311321569_Wearable_Cameras_Are_Useful_Tools_to_Investigate_and_Remediate_Autobiographical_Memory_Impairment_A_Systematic_PRISMA_Review/links/58788ecc08ae8fce4931ccf9/Wearable-Cameras-Are-Useful-Tools-to-Investigate-and-Remediate-Autobiographical-Memory-Impairment-A-Systematic-PRISMA-Review.pdf,"MC Allé, L Manning, J Potheegadoo, R Coutelle… - Neuropsychology …, 2017 - Springer","… 1997), and prelimi- nary qualitative evidence in patients with psychosis (Lesser and Friedmann …
diary method demonstrated substantial effect with patients suffering from schizophrenia (Blairy
et … In view of these limitations, wearable cameras (such as SenseCam®), which record … 
"
59,Wearable for schizophrenia disorders,… wireless system incorporating physiologic assessments and direct confirmation of digital tablet ingestions in ambulatory patients with schizophrenia or bipolar disorder,http://www.psychiatrist.com/JCP/article/Pages/experience-wireless-system-incorporating-physiologic.aspx,"JM Kane, RH Perlis, LA DiCarlo… - The Journal of clinical …, 2013 - psychiatrist.com","… than 5,000 subject-days of system use.2,9 The ingestion sensor and wearable sensor have …
Patients with more severe depression, manic symptoms, or severe psychosis were excluded
per protocol, even though this … Improving treatment adherence in patients with schizophrenia … 
"
